,acuracia,recall,precision
P,0.9961521005584387,0.0,0.0
UNK,0.8914103044773763,0.0,0.0
PRP,0.6770724391735896,0.259678693705557,0.15509241053873377
DET,0.6627069479250942,0.28359643102264925,0.14820659971305594
NUM,0.9728871085502299,0.003142183817753339,0.03669724770642202
ADJ,0.9385125402056159,0.011319419879731164,0.0906515580736544
N,0.6226887937328571,0.2821826952065119,0.18990937373190855
V,0.8508198985733173,0.02954369682907966,0.12931618144888288
R,0.9983819089527793,0.0,0.0
J,0.9982832448645342,0.0,0.0
PU,0.863547565956943,0.02658033736582041,0.11487481590574374
PMDB,0.999980267182351,0.0,0.0
ADV,0.9497405134479152,0.00463743676222597,0.05583756345177665
T,0.9985792371292697,0.0,0.0
PT,0.999980267182351,0.0,0.0
C,0.9970400773526452,0.0,0.0
L,0.9985792371292697,0.0,0.0
SDB,0.9999605343647019,0.0,0.0
S,0.9894034769224698,0.0,0.0
KC,0.9738145509797344,0.0031620553359683794,0.05714285714285714
PPR,1.0,0.0,0.0
PF,1.0,0.0,0.0
B,0.9958166426584052,0.0,0.0
H,0.9985792371292697,0.0,0.0
F,0.996901947629102,0.0,0.0
E,0.997513664976222,0.0,0.0
SPEC,0.9849438601337885,0.0027063599458728013,0.07142857142857142
PROP,0.9998026718235097,0.0,0.0
W,0.9993685498352309,0.0,0.0
A,0.996309963099631,0.0,0.0
PERS,0.9820234031217318,0.0022522522522522522,0.07407407407407407
US,0.9989541606646013,0.0,0.0
KS,0.9844702725102117,0.002688172043010753,0.0425531914893617
IPMF,1.0,0.0,0.0
OAB,1.0,0.0,0.0
M,0.9960534364701936,0.0,0.0
EC,0.999980267182351,0.0,0.0
PI,1.0,0.0,0.0
G,0.9985792371292697,0.0,0.0
U,0.999408015470529,0.0,0.0
O,0.9993290841999329,0.0,0.0
IN,0.9997829390058607,0.0,0.0
D,0.9982240464115871,0.0,0.0
I,0.9976320618821162,0.0,0.0
PC,1.0,0.0,0.0
HERBERT,0.999980267182351,0.0,0.0
SOUZA,1.0,0.0,0.0
IB,0.9999210687294039,0.0,0.0
PDS,1.0,0.0,0.0
LAMOUNIER,1.0,0.0,0.0
K,0.9995461451940723,0.0,0.0
DF,1.0,0.0,0.0
SP,0.9996842749176155,0.0,0.0
BA,1.0,0.0,0.0
Y,0.9998421374588078,0.0,0.0
PFL,0.9999605343647019,0.0,0.0
MA,1.0,0.0,0.0
SE,1.0,0.0,0.0
RV,0.9999210687294039,0.0,0.0
BNDES,1.0,0.0,0.0
CDB,1.0,0.0,0.0
IOF,0.9999605343647019,0.0,0.0
PSDB,1.0,0.0,0.0
PB,1.0,0.0,0.0
UFPB,1.0,0.0,0.0
Q,0.9998618702764568,0.0,0.0
IBGE,1.0,0.0,0.0
ONU,0.9999605343647019,0.0,0.0
CBPO,1.0,0.0,0.0
MSF,1.0,0.0,0.0
ABCD,1.0,0.0,0.0
ECT,1.0,0.0,0.0
AL,1.0,0.0,0.0
RMS,1.0,0.0,0.0
AM,1.0,0.0,0.0
FM,1.0,0.0,0.0
AT,1.0,0.0,0.0
ORTN,1.0,0.0,0.0
OTN,1.0,0.0,0.0
BTN,1.0,0.0,0.0
IPCA,1.0,0.0,0.0
ISO,0.999980267182351,0.0,0.0
PE,1.0,0.0,0.0
ES,1.0,0.0,0.0
FF,1.0,0.0,0.0
SOS,1.0,0.0,0.0
TVA,1.0,0.0,0.0
FGTS,1.0,0.0,0.0
IPM,1.0,0.0,0.0
STF,0.999980267182351,0.0,0.0
OLP,0.9999013359117548,0.0,0.0
NBA,0.9999408015470529,0.0,0.0
HIV,1.0,0.0,0.0
CELS,1.0,0.0,0.0
FG,1.0,0.0,0.0
Z,0.9997040077352645,0.0,0.0
PAC,1.0,0.0,0.0
MIT,1.0,0.0,0.0
IPTU,0.9999605343647019,0.0,0.0
JK,1.0,0.0,0.0
PPS,1.0,0.0,0.0
PA,0.999980267182351,0.0,0.0
INSS,1.0,0.0,0.0
ODON,1.0,0.0,0.0
FT,1.0,0.0,0.0
CET,1.0,0.0,0.0
CEP,0.9999408015470529,0.0,0.0
IC,1.0,0.0,0.0
DP,1.0,0.0,0.0
COC,1.0,0.0,0.0
PM,1.0,0.0,0.0
CMTC,1.0,0.0,0.0
IGPM,1.0,0.0,0.0
FGV,1.0,0.0,0.0
TCM,1.0,0.0,0.0
CNTE,1.0,0.0,0.0
CBF,1.0,0.0,0.0
CPI,1.0,0.0,0.0
PSC,1.0,0.0,0.0
RS,0.999980267182351,0.0,0.0
RJ,0.999980267182351,0.0,0.0
TJD,1.0,0.0,0.0
DKW,1.0,0.0,0.0
EPM,1.0,0.0,0.0
